MANDT,EBELN,EBELP,STATU,AEDAT,TXZ01,MATNR,EMATN,BUKRS,WERKS,LGORT,BEDNR,MATKL,INFNR
1,60620969,10,F,06/27/2008,"PN L284M30C1005 FUEL SENSOR, MAIN SN 328",,,1000,US01,W1EX,,XAC,
1,60620976,10,F,06/30/2008,PN 684-1009-200 TRANSFORMER RECTF SN 540,,,1000,US01,W1EX,,QBXAEC022,
1,60620977,10,F,06/30/2008,684-1009-200 / TRANSFORMER RECTIFIER,,,1000,US01,W1EX,,QBXAEC022,
1,60620978,10,F,06/30/2008,681-1009-200/ TRANSFORMER RECTIFIER,,,1000,US01,W1EX,,QBXAEC022,
1,60620984,10,F,07/01/2008,REU6100-2-(010)/REM.EL.UNIT,,,1000,US01,W1EX,,XAC,
1,60620985,10,F,07/01/2008,ACU6100-2-(120) AUDIO PANEL,,,1000,US01,W1EX,,XAC,
1,60621014,10,F,07/02/2008,"PN 130062 BOX,REGULATOR SN 832",,,1000,US01,W1EX,,XAC,
1,60621015,10,F,07/02/2008,"PN 130062 BOX,REGULATOR SN 579",,,1000,US01,W1EX,,XAC,
1,60621056,10,F,06/26/2008,23081-073\STARTER GENERATOR,,,1000,US01,W1EX,,QBXAEC022,
1,60621060,10,F,06/26/2008,23081-057\STARTER GENERATOR,,,1000,US01,W1EX,,XAC,
1,60621175,10,,07/02/2008,117-6821W11 Spline Protector,,,1000,US01,,,MGXAEC033,
1,60621175,20,,07/02/2008,117-68021W1 Socket Wrench,,,1000,US01,,,MGXAEC033,
1,60621214,10,F,07/08/2008,37.038.23.000/5\OIL COOLER,,,1000,US01,W1EX,,XAC,
1,60621215,10,F,07/08/2008,37.038.23.000/5\OIL COOLER,,,1000,US01,W1EX,,XAC,
1,60621218,10,F,07/09/2008,L258M20X1006\LIGHT (PSU),,,1000,US01,W1EX,,XAC,
1,60621219,10,F,07/09/2008,B18-945.22.28.1.A / CLOCK,,,1000,US01,W1EX,,XAC,
1,60621220,10,F,07/09/2008,L258M20X1006\LIGHT (PSU),,,1000,US01,W1EX,,XAC,
1,60621221,10,F,07/09/2008,L258M20X1006\LIGHT (PSU),,,1000,US01,W1EX,,XAC,
1,60621265,10,F,07/03/2008,PN 684-1009-200 TRANSFORMER RECTF SN 542,,,1000,US01,W1EX,,QBXAEC022,
1,60621266,10,F,07/03/2008,PN 3995-1213 INDICATOR NR SN 2865,,,1000,US01,W1EX,,XAC,
1,60621362,10,F,07/09/2008,23081-073\STARTER GENERATOR,,,1000,US01,W1EX,,XAC,
1,60621466,10,F,07/10/2008,9696/ BLOWER OIL COOLER,,,1000,US01,W1EX,,XAC,
1,60621467,10,F,07/10/2008,L290M20A1014 / HYD PUMP,,,1000,US01,W1EX,,XAC,
1,60621505,10,F,07/15/2008,4649001007\MAIN TRANSMISSION,,,1000,US01,W1EX,,XAC,
1,60621506,10,F,07/15/2008,L316M30C1004\CDS,,,1000,US01,W1EX,,XAC,
1,60621508,10,F,07/16/2008,P/N: 617528-4-1 /SENSOR,,,1000,US01,W1EX,,XAC,
1,60621509,10,F,07/16/2008,PN C623A2005103 SCISSOR LINK SN BRY132,,,1000,US01,W1EX,,XAC,
1,60621510,10,F,07/17/2008,TM427-45/ TOT INDICATOR,,,1000,US01,W1EX,,XAC,
1,60621566,10,F,07/10/2008,684-1009-200 / TRANSFORMER sn 495,,,1000,US01,W1EX,,XAC,
1,60621567,10,F,07/10/2008,366A84-0260-0501 HOIST ARM REMOVABLE,,,1000,US01,W1EX,,XAC,
1,60621568,10,F,07/10/2008,PN L633M2010103 Z-ARIS 135 SN 1'086'607,,,1000,US01,W1EX,,XAC,
1,60621569,10,F,07/10/2008,PN L633M2010105 Z-ARIS DAMPER SN 550,,,1000,US01,W1EX,,XAC,
1,60621632,10,F,07/17/2008,704A46-820-034 / SEARCH LIGHT,,,1000,US01,W1EX,,XAC,
1,60621669,10,F,07/16/2008,1901-3040-00\TRI 40 BASIC UNIT,,,1000,US01,W1EX,,XAC,
1,60621670,10,F,07/16/2008,1901-3500-00\RADAR ALTIMETER,,,1000,US01,W1EX,,XAC,
1,60621671,10,F,07/16/2008,3A43.32.20F.28.4.EE\ALTIMETER,,,1000,US01,W1EX,,XAC,
1,60621672,10,F,07/16/2008,SPC-10(HD)\STATIC INVERTER,,,1000,US01,W1EX,,XAC,
1,60621673,10,F,07/16/2008,5007-155-00-20\SENSOR ROTOR SPEED,,,1000,US01,W1EX,,XAC,
1,60621675,10,F,07/16/2008,MS5750-V01\MOTOR,,,1000,US01,W1EX,,XAC,
1,60621676,10,F,07/16/2008,B623M4002201\DRIVE LINK TUBE,,,1000,US01,W1EX,,XAC,
1,60621682,10,F,07/17/2008,L623M1006103\SHAFT (ROTOR HUB),,,1000,US01,W1EX,,XAC,
1,60621684,10,F,07/17/2008,L671M1809102\CYCLIC STICK,,,1000,US01,W1EX,,XAC,
1,60621696,10,F,07/22/2008,MS5750-V01\MOTOR,,,1000,US01,W1EX,,XAC,
1,60621697,10,F,07/22/2008,9696\ELECTRICAL MOTOR,,,1000,US01,W1EX,,XAC,
1,60621698,10,F,07/22/2008,64818-020-1\OIL TEMP INDICATOR,,,1000,US01,W1EX,,XAC,
1,60621699,10,F,07/23/2008,416-00293-120\PR SAS COMPUTER,,,1000,US01,W1EX,,XAC,
1,60621710,10,F,07/25/2008,39951213\NR INDICATOR,,,1000,US01,W1EX,,XAC,
1,60621711,10,F,07/25/2008,40165\HYD PUMP,,,1000,US01,W1EX,,XAC,
1,60621713,10,F,07/25/2008,23081-043\STARTER GENERATOR,,,1000,US01,W1EX,,XAC,
1,60621715,10,F,07/25/2008,23081-073\STARTER GENERATOR,,,1000,US01,W1EX,,XAC,
1,60621716,10,F,07/28/2008,355A91-0045-01\GROUND HANDLING WHEELS,,,1000,US01,W1EX,,XAC,
1,60621717,10,F,07/28/2008,355A91-0045-01\GROUND HANDLING WHEELS,,,1000,US01,W1EX,,XAC,
1,60621718,10,F,07/28/2008,23081-057\STARTER GENERATOR,,,1000,US01,W1EX,,XAC,
1,60621786,10,F,07/23/2008,2180F02 / TRANSFER PUMP,,,1000,US01,W1EX,,XAC,
1,60621800,10,F,07/25/2008,PN C623A2005102 SCISSOR LINK SN BRY593,,,1000,US01,W1EX,,XAC,
1,60621824,10,F,07/30/2008,4649010008\MAIN TRANSMISSION,,,1000,US01,W1EX,,XAC,
1,60621828,10,F,07/30/2008,P94B12-209\FUEL PUMP,,,1000,US01,W1EX,,XAC,
1,60621872,10,F,07/21/2008,SC8043\SERVO,,,1000,US01,W1EX,,XAC,
1,60621881,10,F,07/22/2008,pn L281M2008101 FUEL TANK SENSOR SN 216,,,1000,US01,W1EX,,XAC,
1,60621884,10,F,07/22/2008,PN 9550166140 PRESS SW SN 6183-2A-99,,,1000,US01,W1EX,,XAC,
1,60621887,10,F,07/23/2008,B18-945.22.28.2.A / CLOCK,,,1000,US01,W1EX,,XAC,
1,60622007,10,F,07/24/2008,SV-EURO-5\SIGNAL AMPLIFIER UNIT,,,1000,US01,W1EX,,XAC,
1,60622009,10,F,07/24/2008,L633M2010107\Z-ARIS MOUNT,,,1000,US01,W1EX,,XAC,
1,60622012,10,F,07/25/2008,024803A-A\BLOC EQUIPMENT BASE,,,1000,US01,W1EX,,XAC,
1,60622013,10,F,07/25/2008,20580-000-01\BRAKE ASSY,,,1000,US01,W1EX,,XAC,
1,60622014,10,F,07/25/2008,L642A2004101\PITCH SPIDER ASSY,,,1000,US01,W1EX,,XAC,
1,60622052,10,F,07/29/2008,L673M20A1005\MR ACTUATOR,,,1000,US01,W1EX,,XAC,
1,60622053,10,F,07/29/2008,L673M40A1003\ACTUATOR,,,1000,US01,W1EX,,XAC,
1,60622054,10,F,07/29/2008,4503-350-3\MASTER BOX,,,1000,US01,W1EX,,XAC,
1,60622058,10,F,07/30/2008,130100\FUEL PUMP CARTRIDGE,,,1000,US01,W1EX,,XAC,
1,60622074,10,F,07/30/2008,pn L284M30C1005 FUEL TANK SENSOR SN 749,,,1000,US01,W1EX,,XAC,
1,60622075,10,F,07/30/2008,PN 5813-700-00-11 RPM GAUGE SN 612,,,1000,US01,W1EX,,XAC,
1,60622199,10,F,08/07/2008,64550-005-1\TACH INDICATOR,,,1000,US01,W1EX,,XAC,
1,60622200,10,F,08/07/2008,9696\FAN MOTOR,,,1000,US01,W1EX,,XAC,
1,60622201,10,F,08/07/2008,B18-945-32-28-1AG\CLOCK,,,1000,US01,W1EX,,XAC,
1,60622202,10,F,08/07/2008,C623A2005102\SCISSOR LINKS,,,1000,US01,W1EX,,XAC,
1,60622203,10,F,08/14/2008,GC-134614\CIRCUIT CARD,,,1000,US01,W1EX,,XAC,
1,60622204,10,F,08/07/2008,151CH1\BATTERY,,,1000,US01,W1EX,,XAC,
1,60622267,10,F,08/04/2008,PN 456TS01Y-NVG PANEL UNDERCAR  SN 774,,,1000,US01,W1EX,,XAC,
1,60622268,10,F,08/04/2008,PN 456TS01Y-NVG PANEL UNDERCAR  SN 569,,,1000,US01,W1EX,,XAC,
1,60622271,10,F,08/04/2008,"pn D24AB1041 RELAY, BRAKING SN 831",,,1000,US01,W1EX,,XAC,
1,60622272,10,F,08/04/2008,"pn D24AB1041 RELAY, BRAKING SN 821",,,1000,US01,W1EX,,XAC,
1,60622273,10,F,08/04/2008,"pn D24AB1041 RELAY, BRAKING SN 688",,,1000,US01,W1EX,,XAC,
1,60622275,10,F,08/05/2008,130100/FUEL PUMP CARTRIDGE,,,1000,US01,W1EX,,XAC,
1,60622276,10,F,08/05/2008,130100/FUEL PUMP CARTRIDGE,,,1000,US01,W1EX,,XAC,
1,60622278,10,F,08/05/2008,L634P7001051\TEST EQUIPMENT MAST MOMENT,,,1000,US01,W1EX,,XAC,
1,60622281,10,F,08/05/2008,365A38-0130-00\SUPPORT BAR,,,1000,US01,W1EX,,XAC,
1,60622282,10,F,08/05/2008,365A38-0130-00\SUPPORT BAR,,,1000,US01,W1EX,,XAC,
1,60622324,10,F,08/08/2008,37.038.23.000/5\OIL COOLER,,,1000,US01,W1EX,,XAC,
1,60622354,10,F,07/31/2008,23081-072\STARTER GENERATOR,,,1000,US01,W1EX,,XAC,
1,60622358,10,F,08/01/2008,L771M40C1009\TRIPLE INDICATOR,,,1000,US01,W1EX,,XAC,
1,60622360,10,F,08/04/2008,23081-043\STARTER GENERATOR,,,1000,US01,W1EX,,XAC,
1,60622362,10,F,08/04/2008,23081-073\STARTER GENERATOR,,,1000,US01,W1EX,,XAC,
1,60622363,10,F,08/04/2008,3A43.32.20F.28.4.EE\ALTIMETER,,,1000,US01,W1EX,,XAC,
1,60622364,10,F,08/04/2008,L316M30C1003\CDS,,,1000,US01,W1EX,,XAC,
1,60622457,10,F,08/09/2008,39.1-1100-02 / ACTUATOR,,,1000,US01,W1EX,,XAC,
1,60622458,10,F,08/09/2008,4217212/ LANDING LIGHT ASSY,,,1000,US01,W1EX,,XAC,
1,60622553,10,F,08/15/2008,23081-072\STARTER GENERATOR,,,1000,US01,W1EX,,XAC,
1,60622554,10,F,08/15/2008,INTERMEDIATE GEAR BOX S/N 1063,,,1000,US01,W1EX,,XAC,
1,60622654,10,F,08/11/2008,B19030SB04\VEMD,,,1000,US01,W1EX,,XAC,
1,60622657,10,F,08/11/2008,L633M2010109/ Z-ARIS,,,1000,US01,W1EX,,XAC,
1,60622661,10,F,08/12/2008,AW-EURO-4\SIGNAL PROCESSING UNIT,,,1000,US01,W1EX,,XAC,
1,60622664,10,F,08/12/2008,L792M3004105\FAN ASSY,,,1000,US01,W1EX,,XAC,
1,60622689,10,F,08/14/2008,B18-945.22.28.1.A / CLOCK,,,1000,US01,W1EX,,XAC,
1,60622741,10,F,08/12/2008,FD70CMT-B/  CEILING MOUNT DISPLAY,,,1000,US01,W1EX,,XAC,
1,60622745,10,F,08/13/2008,024803AA\BLOC EQUP BASE,,,1000,US01,W1EX,,XAC,
1,60622764,10,F,08/14/2008,PN 050145 BLOWER ASSY SN 07114,,,1000,US01,W1EX,,XAC,
1,60622800,10,F,08/21/2008,366A67-2083-01AA TRANSMITTER S/N UNK,,,1000,US01,W1EX,,XAC,
1,60622843,10,F,08/11/2008,PN 365A12-0020-05 BLADE TR SN 56836P/N:,,,1000,US01,W1EX,,XAC,
1,60622845,10,F,08/11/2008,PN 365A12-0020-05 BLADE TR SN 53389,,,1000,US01,W1EX,,XAC,
1,60622847,10,F,08/11/2008,PN 1121-94400 HARNESS,,,1000,US01,W1EX,,XAC,
1,60622849,10,F,08/12/2008,PN 130100 FUEL PUMP CARTRIDGE SN 1889,,,1000,US01,W1EX,,XAC,
1,60622850,10,F,08/12/2008,PN 130100 FUEL PUMP CARTRIDGE SN 1889,,,1000,US01,W1EX,,XAC,
1,60622852,10,F,08/14/2008,23081-057\STARTER GENERATOR,,,1000,US01,W1EX,,XAC,
1,60622855,10,F,08/14/2008,SPC-10HD\INVERTER,,,1000,US01,W1EX,,XAC,
1,60622857,10,F,08/14/2008,33000025-1\FIRE BOTTLE,,,1000,US01,W1EX,,XAC,
1,60622858,10,F,08/14/2008,105-13221\DRIVING LINK,,,1000,US01,W1EX,,XAC,
1,60622860,10,F,08/14/2008,120-0260-1\BLOWER MOTOR,,,1000,US01,W1EX,,XAC,
1,60622891,10,F,08/14/2008,23081-073\STARTER GENERATOR,,,1000,US01,W1EX,,XAC,
1,60622901,10,F,08/15/2008,7HEL078/ TAIL ROTOR BALANCING KIT,,,1000,US01,W1EX,,XAC,
1,60622939,10,F,08/19/2008,117-45020V001\Hydraulic Pac,,,1000,US01,W1EX,,XAC,
1,60623090,10,F,08/25/2008,39.1-1100-02 / ACTUATOR,,,1000,US01,W1EX,,XAC,
1,60623099,10,F,08/27/2008,23081-073\STARTER GENERATOR,,,1000,US01,W1EX,,XAC,
1,60623100,10,F,08/27/2008,23081-073\STARTER GENERATOR,,,1000,US01,W1EX,,XAC,
1,60623304,10,F,08/28/2008,"PN D24AB1041 RELAY, BRAKE CIR SN 687",,,1000,US01,W1EX,,XAC,
1,60623323,10,F,08/29/2008,"PN P94C16-606 PUMP,FUEL SN C30091",,,1000,US01,W1EX,,XAC,
1,60623325,10,F,08/29/2008,"PN P94C16-606 PUMP,FUEL SN B98814",,,1000,US01,W1EX,,XAC,
1,60623326,10,F,08/29/2008,"PN P94C16-606 PUMP,FUEL SN C18676",,,1000,US01,W1EX,,XAC,
1,60623327,10,F,08/29/2008,"PN P94C16-606 PUMP,FUEL SN C18676",,,1000,US01,W1EX,,XAC,
1,60623329,10,F,08/29/2008,"PN P94C16-606 PUMP,FUEL SN B82815",,,1000,US01,W1EX,,XAC,
1,60623330,10,F,08/29/2008,"PN P94C16-606 PUMP,FUEL SN C03606",,,1000,US01,W1EX,,XAC,
1,60623333,10,F,08/29/2008,"PN P94C16-606 PUMP,FUEL SN C11119",,,1000,US01,W1EX,,XAC,
1,60623357,10,F,08/27/2008,B771M40C1003/TRIPLE INDICATOR,,,1000,US01,W1EX,,XAC,
1,60623358,10,F,08/27/2008,B771M40C1003/TRIPLE INDICATOR,,,1000,US01,W1EX,,XAC,
1,60623413,10,F,09/03/2008,117-600631\FIREWALL ASSY,,,1000,US01,W1EX,,XAC,
1,60623414,10,F,09/03/2008,L713M2053102\EJECTOR,,,1000,US01,W1EX,,XAC,
1,60623417,10,F,09/03/2008,76228310\FUEL GAUGE INDICATOR,,,1000,US01,W1EX,,XAC,
1,60623419,10,F,09/03/2008,7008138-903\FZ10 COMPUTER,,,1000,US01,W1EX,,XAC,
1,60623420,10,F,09/03/2008,930-500-25-1\SEARCH LIGHT,,,1000,US01,W1EX,,XAC,
1,60623477,10,F,08/27/2008,"PN P94C16-606 PUMP,FUEL SN C26199",,,1000,US01,W1EX,,XAC,
1,60623479,10,F,08/27/2008,"PN P94C16-606 PUMP,FUEL SN C26194",,,1000,US01,W1EX,,XAC,
1,60623480,10,F,08/27/2008,"PN P94C16-606 PUMP,FUEL SN C35321",,,1000,US01,W1EX,,XAC,
1,60623481,10,F,08/27/2008,"PN P94C16-606 PUMP,FUEL SN c11135",,,1000,US01,W1EX,,XAC,
1,60623482,10,F,08/27/2008,"PN P94C16-606 PUMP,FUEL SN C12694",,,1000,US01,W1EX,,XAC,
1,60623485,10,F,08/27/2008,"PN P94C16-606 PUMP,FUEL SN C26148",,,1000,US01,W1EX,,XAC,
1,60623489,10,F,08/28/2008,L673M20A1005\MAIN ROTOR ACTUATOR,,,1000,US01,W1EX,,XAC,
1,60623505,10,F,09/02/2008,REU6100-2-(010) SN 00219,,,1000,US01,W1EX,,XAC,
1,60623545,10,F,08/29/2008,130100\FUEL PUMP CARTRIDGE,,,1000,US01,W1EX,,XAC,
1,60623546,10,F,08/29/2008,AW-EURO-5\SIGNAL PROCESSING UNIT,,,1000,US01,W1EX,,XAC,
1,60623610,10,F,09/04/2008,PN 355A75-1370-03 ACTUAT. ASSY HYD,,,1000,US01,W1EX,,XAC,
1,60623613,10,F,09/04/2008,L311M1075103\SWITCH UNIT,,,1000,US01,W1EX,,XAC,
1,60623614,10,F,09/04/2008,L311M1075103\SWITCH UNIT,,,1000,US01,W1EX,,XAC,
1,60623615,10,F,09/04/2008,L662C1021102\HUB CAP SUPPORT,,,1000,US01,W1EX,,XAC,
1,60623616,10,F,09/04/2008,B334M3006104\ELT UNIT LIGHT ASSY,,,1000,US01,W1EX,,XAC,
1,60623618,10,F,09/04/2008,B183M2011102\CONTROL UNIT Y-VIB.ABSORBER,,,1000,US01,W1EX,,XAC,
1,60623621,10,F,09/04/2008,7900100-06M307W303\VIDEO RADAR UNIT,,,1000,US01,W1EX,,XAC,
1,60623702,10,F,09/10/2008,400-047-152-9005 SN 46541 CONTROL DISPLA,,,1000,US01,W1EX,,XAC,
1,60623703,10,F,09/10/2008,44301-10-7 / Rescue Hoist s/n 00202 MN 1,,,1000,US01,W1EX,,XAC,
1,60623752,10,F,09/05/2008,L633M2010103\Z-ARIS MOUNT,,,1000,US01,W1EX,,XAC,
1,60623753,10,F,09/05/2008,L633M2010103\Z-ARIS MOUNT,,,1000,US01,W1EX,,XAC,
1,60623759,10,F,09/06/2008,H140CWM\GYRO,,,1000,US01,W1EX,,XAC,
1,60623842,10,F,09/08/2008,SC5083-1\SERVO,,,1000,US01,W1EX,,XAC,
1,60623848,10,F,09/08/2008,5007-155-00-20\TACHOMETER,,,1000,US01,W1EX,,XAC,
1,60623868,10,F,09/09/2008,B35000AA01\VEMD,,,1000,US01,W1EX,,XAC,
1,60623875,10,F,09/09/2008,758-355-2\FUEL GAUGE TRANSMITTER,,,1000,US01,W1EX,,XAC,
1,60623883,10,F,09/10/2008,L315M5001881\WARNING UNIT,,,1000,US01,W1EX,,XAC,
1,60623885,10,F,09/10/2008,SSTU-EURC2-2\SIGNAL TRANSMITTER,,,1000,US01,W1EX,,XAC,
1,60623888,10,F,09/10/2008,GHC100-6\HYDRAULIC PACK,,,1000,US01,W1EX,,XAC,
1,60623917,10,F,09/15/2008,416-00298-360\APMS DUPLEX,,,1000,US01,W1EX,,XAC,
1,60623919,10,F,09/15/2008,416-00293-120\COMPUTER,,,1000,US01,W1EX,,XAC,
1,60623920,10,F,09/15/2008,416-00297-007\AUTO PILOT MODULE,,,1000,US01,W1EX,,XAC,
1,60623924,10,F,09/15/2008,438-00100-302\GYRO,,,1000,US01,W1EX,,XAC,
1,60623940,10,F,09/08/2008,31300-1202-1200 C5000 Radio S/N 49086,,,1000,US01,W1EX,,XAC,
1,60623970,10,F,09/10/2008,ES73175-2 / BLOWER MOTOR,,,1000,US01,W1EX,,XAC,
1,60623972,10,F,09/10/2008,704A33-220-025 / OIL COOLER,,,1000,US01,W1EX,,XAC,
1,60623974,10,F,09/10/2008,L771M40C1005/ TRIPLE TACH,,,1000,US01,W1EX,,XAC,
1,60624032,10,F,09/16/2008,8187\ELECTRIC ACTUATOR,,,1000,US01,W1EX,,XAC,
1,60624035,10,F,09/16/2008,SC7283\SERVO,,,1000,US01,W1EX,,XAC,
1,60624043,10,F,09/16/2008,1250303\BLOWER,,,1000,US01,W1EX,,XAC,
1,60624063,10,F,09/18/2008,C19267VG11/ DISPLAY SMART MULTI SMD46-H,,,1000,US01,W1EX,,XAC,
1,60624075,10,F,09/19/2008,PN06417701 ENG LIGHT DIODE SN 120,,,1000,US01,W1EX,,XAC,
1,60624239,10,F,09/17/2008,130100\FUEL PUMP CARTRIDGE,,,1000,US01,W1EX,,XAC,
1,60624240,10,F,09/17/2008,420-00339-000\MAGNETOMETER,,,1000,US01,W1EX,,XAC,
1,60624301,10,F,09/19/2008,L792M2002102/ OIL COOLER BYPASS VAVLE,,,1000,US01,W1EX,,XAC,
1,60624305,10,F,09/19/2008,117-97302-01 / CIRCUIT CARD PWB,,,1000,US01,W1EX,,XAC,
1,60624306,10,F,09/19/2008,501-1849-01\HORIZON GYRO,,,1000,US01,W1EX,,XAC,
